platform,komentar,timestamp,sentimen,komentar_clean
YouTube,"STY n naturalisasi adalah proses instant utk upgrade level timnas, yg perlu diperhatikan adalah tindakan perbaikan pd liga ke arah standart yg lbh tinggi, jd perbaiki kualitas pelatih, lapangan, wasit n berantas mafia sepakbola, berantas jg KKN yg parah di era Rezim shg para pemain baik lokal n naturalisasi bisa hidup sejahtera dari Sepakbola💪🏽🇲🇨🏆",1 tahun yang lalu,,sty n naturalisasi proses instant utk upgrade level timnas yg perhati tindak baik pd liga arah standart yg lbh jd baik kualitas latih lapang wasit n berantas mafia sepakbola berantas jg kkn yg parah era rezim shg main lokal n naturalisasi hidup sejahtera sepakbola
YouTube,"Bagiku mreka bukan pemain asing ataupun naturalisasi, mreka hanya pemain lokal yg di latih dan bermain di luar negeri, dan saat dewasa mreka membela timnas Indonesia",1 tahun yang lalu,,bagi mreka main asing naturalisasi mreka main lokal yg latih main negeri dewasa mreka bela timnas indonesia
YouTube,"towel kita tdk melemahkn kualitas pemain lokal, mslahnya data analytic tentang kmampuan pemain lokal d lapangan sgt tdk memungkinkn utk bermain penuh di tingkat dunia skrg, tetap hrus ada booster yaitu naturalisasi.",1 tahun yang lalu,,towel tdk melemahkn kualitas main lokal mslahnya data analytic kmampuan main lokal d lapang sgt tdk memungkinkn utk main penuh tingkat dunia skrg hrus booster naturalisasi
YouTube,"Si towel pengen jadi pelatih timnas?? 
Memang manusia seperti itu harus dibuang ke Israel",1 tahun yang lalu,,si towel ken latih timnas manusia buang israel
YouTube,Aku masi towell kok mangkel....towell iki sebenere menungso opo ora kah ? Wong kok keminter...cocok di jejeli onde² towell iki,1 tahun yang lalu,,mas towell mangkeltowell iki sebenere menungso opo ora kah kemintercocok jejeli onde towell iki
YouTube,"Ini org bisa nya komentar aja,bisa nya cuma comentar aje,,😂 bukan dukung timnas,bisa nya duduk komentar2 doang",1 tahun yang lalu,,org nya komentar ajabisa nya comentar aje dukung timnasbisa nya duduk komentar doang
YouTube,"Towel.. ini virus... suruh buat team buat lawan team STY... 
Towel ini butuh jabatan d PSSI.. dan towel ini prestasinya apa..? Apa towel cuma bisa kritik aja.. tp tidak tindakkan nyata buat teamnas...",1 tahun yang lalu,,towel virus suruh team lawan team sty towel butuh jabat d pssi towel prestasi towel kritik aja tp tindak nyata teamnas
YouTube,emang towel contoh .kalau lihat karet di gantung kasih air  terus di towel/di senggol pasti gerak kesana kemari gak jelas itulah towel ..,1 tahun yang lalu,,emang towel contoh lihat karet gantung kasih air toweldi senggol gerak kesana kemari gak towel
YouTube,"Towel ini sebenarnya.. Dulu sangat faham, siapa siapa orang mavia bola dan bagaimana cara mereka bergerak... Tp kenapa dulu kok towel... Diem saja....dulu lapangan bola kayak kandang sapi.. Towel ya duem saja... Tp kenapa sekarang kok nyocros terus... Klu ngikuti orang mavia macam towel... Maka seoak bola kita akan runyam terus",1 tahun yang lalu,,towel faham orang mavia bola gerak tp towel diem sajadulu lapang bola kayak kandang sapi towel ya duem tp nyocros klu ngikuti orang mavia towel seoak bola runyam
YouTube,"Aneh orang ini siapa? Masih ajh di kasih waktu cuap2 di Televisi..  prestasinya apa untuk Timnas,,? Klo STY sudh jelas Pelatih tingkat Dunia,,, aneh bung Towel ini gk bercermin siapa dirinya,,,",1 tahun yang lalu,,aneh orang ajh kasih cuap televisi prestasi timnas klo sty sudh latih tingkat dunia aneh towel gk cermin
